,F,initialLearningRate,learningRateDecay,regularization,momentum,min_train_loss,min_val_loss
124,8,0.1,0.01,0.05,0.9,1.053133031,1.152235151
106,8,0.1,0.001,0.05,0.9,1.045858893,1.152439471
185,9,0.01,0.01,0.01,0.99,1.106688786,1.152456194
346,10,0.01,0.1,0.01,0.9,1.105161987,1.152461005
172,9,0.01,0.001,0.03,0.9,1.108561424,1.152471873
66,8,0.01,0.1,0.04,0.5,1.114171576,1.152486694
22,8,0.01,0.001,0.01,0.9,1.107995237,1.152510886
28,8,0.01,0.001,0.03,0.9,1.109865352,1.152529774
164,9,0.01,0.001,0,0.99,1.096088355,1.152536541
360,10,0.1,0.0001,0,0.5,0.866197249,1.152635432
30,8,0.01,0.001,0.04,0.5,1.113424294,1.152635612
205,9,0.01,0.1,0.02,0.9,1.113993907,1.152654962
284,9,0.1,0.1,0.04,0.99,1.012460157,1.152703264
338,10,0.01,0.01,0.04,0.99,1.110191737,1.152712173
174,9,0.01,0.001,0.04,0.5,1.109568784,1.152764786
29,8,0.01,0.001,0.03,0.99,1.108159675,1.152808569
394,10,0.1,0.001,0.05,0.9,1.067303126,1.152837524
21,8,0.01,0.001,0.01,0.5,1.110693266,1.152842942
183,9,0.01,0.01,0.01,0.5,1.106386464,1.152897841
201,9,0.01,0.1,0.01,0.5,1.113441538,1.152900074
67,8,0.01,0.1,0.04,0.9,1.115783792,1.152932311
17,8,0.01,0.0001,0.05,0.99,1.109938775,1.152942757
112,8,0.1,0.01,0.01,0.9,0.978944424,1.152961402
8,8,0.01,0.0001,0.02,0.99,1.108283498,1.152986405
213,9,0.01,0.1,0.05,0.5,1.110957726,1.152987942
197,9,0.01,0.01,0.05,0.99,1.110346899,1.15300255
203,9,0.01,0.1,0.01,0.99,1.111348178,1.153008705
24,8,0.01,0.001,0.02,0.5,1.10362252,1.153053888
292,10,0.01,0.0001,0.01,0.9,1.100109784,1.153079451
26,8,0.01,0.001,0.02,0.99,1.109831368,1.15312553
2,8,0.01,0.0001,0,0.99,1.105102221,1.153166423
162,9,0.01,0.001,0,0.5,1.103778296,1.153175043
94,8,0.1,0.001,0.01,0.9,0.979146584,1.153208494
95,8,0.1,0.001,0.01,0.99,0.948815256,1.153220978
0,8,0.01,0.0001,0,0.5,1.100674065,1.153232793
233,9,0.1,0.0001,0.05,0.99,1.071736981,1.153318388
61,8,0.01,0.1,0.02,0.9,1.113019599,1.15334429
58,8,0.01,0.1,0.01,0.9,1.109988685,1.153387198
232,9,0.1,0.0001,0.05,0.9,1.043152321,1.153431761
10,8,0.01,0.0001,0.03,0.9,1.108666868,1.153476834
299,10,0.01,0.0001,0.03,0.99,1.106999197,1.153495355
189,9,0.01,0.01,0.03,0.5,1.109485011,1.153495834
339,10,0.01,0.01,0.05,0.5,1.105994983,1.153537885
27,8,0.01,0.001,0.03,0.5,1.107323838,1.153569032
214,9,0.01,0.1,0.05,0.9,1.113566475,1.153578573
242,9,0.1,0.001,0.02,0.99,0.985218326,1.153696631
35,8,0.01,0.001,0.05,0.99,1.109868205,1.153710463
316,10,0.01,0.001,0.03,0.9,1.108437966,1.153773245
293,10,0.01,0.0001,0.01,0.99,1.101042046,1.153925118
119,8,0.1,0.01,0.03,0.99,0.995725127,1.154018725
170,9,0.01,0.001,0.02,0.99,1.099340136,1.154020308
31,8,0.01,0.001,0.04,0.9,1.102596154,1.154020675
129,8,0.1,0.1,0.01,0.5,0.919118068,1.154030615
153,9,0.01,0.0001,0.03,0.5,1.105422958,1.154057618
70,8,0.01,0.1,0.05,0.9,1.114751338,1.154148673
166,9,0.01,0.001,0.01,0.9,1.107024127,1.15420955
208,9,0.01,0.1,0.03,0.9,1.112376096,1.154218043
182,9,0.01,0.01,0,0.99,1.100581183,1.154220537
178,9,0.01,0.001,0.05,0.9,1.110951599,1.154228583
216,9,0.1,0.0001,0,0.5,0.915512266,1.154333747
76,8,0.1,0.0001,0.01,0.9,0.992464744,1.154416193
218,9,0.1,0.0001,0,0.99,0.990527898,1.154422928
146,9,0.01,0.0001,0,0.99,1.100778299,1.154454451
196,9,0.01,0.01,0.05,0.9,1.112271684,1.154494381
177,9,0.01,0.001,0.05,0.5,1.110063354,1.154495146
4,8,0.01,0.0001,0.01,0.9,1.096030504,1.154549277
204,9,0.01,0.1,0.02,0.5,1.108745465,1.154589902
228,9,0.1,0.0001,0.04,0.5,0.9507177,1.154632102
11,8,0.01,0.0001,0.03,0.99,1.105340439,1.154633876
18,8,0.01,0.001,0,0.5,1.102361933,1.154639625
289,10,0.01,0.0001,0,0.9,1.102407182,1.154659381
237,9,0.1,0.001,0.01,0.5,0.887752565,1.154681431
39,8,0.01,0.01,0.01,0.5,1.106412766,1.154782455
198,9,0.01,0.1,0,0.5,1.111279808,1.154807818
191,9,0.01,0.01,0.03,0.99,1.108000457,1.154809775
326,10,0.01,0.01,0,0.99,1.099591331,1.154848887
181,9,0.01,0.01,0,0.9,1.104252725,1.154853698
311,10,0.01,0.001,0.01,0.99,1.099952906,1.154872118
168,9,0.01,0.001,0.02,0.5,1.103216502,1.154885415
13,8,0.01,0.0001,0.04,0.9,1.109274226,1.154890893
207,9,0.01,0.1,0.03,0.5,1.11305881,1.15500559
47,8,0.01,0.01,0.03,0.99,1.104560455,1.155006901
337,10,0.01,0.01,0.04,0.9,1.109253561,1.155008668
63,8,0.01,0.1,0.03,0.5,1.110421943,1.155043977
359,10,0.01,0.1,0.05,0.99,1.113728876,1.15511804
200,9,0.01,0.1,0,0.99,1.107833688,1.155161458
195,9,0.01,0.01,0.05,0.5,1.110609344,1.155222192
160,9,0.01,0.0001,0.05,0.9,1.107636354,1.155231676
157,9,0.01,0.0001,0.04,0.9,1.106841631,1.155240363
313,10,0.01,0.001,0.02,0.9,1.105893675,1.155290989
332,10,0.01,0.01,0.02,0.99,1.105209673,1.155389108
354,10,0.01,0.1,0.04,0.5,1.110236237,1.15539529
45,8,0.01,0.01,0.03,0.5,1.112722111,1.155433736
270,9,0.1,0.1,0,0.5,0.892386977,1.155491133
211,9,0.01,0.1,0.04,0.9,1.117412599,1.155573669
413,10,0.1,0.01,0.05,0.99,1.034859857,1.155651252
357,10,0.01,0.1,0.05,0.5,1.112366875,1.155673652
64,8,0.01,0.1,0.03,0.9,1.116885855,1.155702986
297,10,0.01,0.0001,0.03,0.5,1.102884973,1.155712607
317,10,0.01,0.001,0.03,0.99,1.106135207,1.155739887
90,8,0.1,0.001,0,0.5,0.927577786,1.155797928
210,9,0.01,0.1,0.04,0.5,1.11143673,1.155809712
295,10,0.01,0.0001,0.02,0.9,1.109992776,1.155816634
377,10,0.1,0.0001,0.05,0.99,1.069790252,1.155870563
6,8,0.01,0.0001,0.02,0.5,1.107084786,1.155892387
344,10,0.01,0.1,0,0.99,1.107404982,1.155937019
54,8,0.01,0.1,0,0.5,1.111527131,1.155947745
368,10,0.1,0.0001,0.02,0.99,0.987025763,1.155979335
294,10,0.01,0.0001,0.02,0.5,1.100397681,1.156123953
144,9,0.01,0.0001,0,0.5,1.099947627,1.156153152
57,8,0.01,0.1,0.01,0.5,1.109632597,1.156160979
88,8,0.1,0.0001,0.05,0.9,1.05415755,1.156165731
322,10,0.01,0.001,0.05,0.9,1.107796466,1.156208916
49,8,0.01,0.01,0.04,0.9,1.109038916,1.156216632
65,8,0.01,0.1,0.03,0.99,1.11534885,1.156251769
151,9,0.01,0.0001,0.02,0.9,1.106461758,1.1562913
262,9,0.1,0.01,0.03,0.9,1.00733689,1.156310299
148,9,0.01,0.0001,0.01,0.9,1.101360262,1.156328079
352,10,0.01,0.1,0.03,0.9,1.110328848,1.156398883
363,10,0.1,0.0001,0.01,0.5,0.885187816,1.156420752
318,10,0.01,0.001,0.04,0.5,1.107813891,1.156436386
319,10,0.01,0.001,0.04,0.9,1.108663472,1.156462654
302,10,0.01,0.0001,0.04,0.99,1.107591583,1.156477893
418,10,0.1,0.1,0.01,0.9,0.990948436,1.156502047
38,8,0.01,0.01,0,0.99,1.104410111,1.156553863
340,10,0.01,0.01,0.05,0.9,1.10706189,1.156602946
329,10,0.01,0.01,0.01,0.99,1.102023719,1.156625384
51,8,0.01,0.01,0.05,0.5,1.110179614,1.156629456
187,9,0.01,0.01,0.02,0.9,1.103835949,1.15670197
150,9,0.01,0.0001,0.02,0.5,1.108287571,1.156737541
179,9,0.01,0.001,0.05,0.99,1.106503732,1.156739021
55,8,0.01,0.1,0,0.9,1.114121381,1.156776627
334,10,0.01,0.01,0.03,0.9,1.107602419,1.156792331
9,8,0.01,0.0001,0.03,0.5,1.1094394,1.156879763
25,8,0.01,0.001,0.02,0.9,1.109249658,1.15690588
343,10,0.01,0.1,0,0.9,1.104534653,1.156909429
308,10,0.01,0.001,0,0.99,1.100671823,1.156940802
40,8,0.01,0.01,0.01,0.9,1.102392874,1.156946818
159,9,0.01,0.0001,0.05,0.5,1.109696057,1.156998524
310,10,0.01,0.001,0.01,0.9,1.09859735,1.157002596
430,10,0.1,0.1,0.05,0.9,1.041524427,1.157048214
378,10,0.1,0.001,0,0.5,0.841712124,1.157053294
73,8,0.1,0.0001,0,0.9,1.014808791,1.157054542
23,8,0.01,0.001,0.01,0.99,1.106572285,1.157062144
46,8,0.01,0.01,0.03,0.9,1.111729067,1.157156892
323,10,0.01,0.001,0.05,0.99,1.102964431,1.157166594
350,10,0.01,0.1,0.02,0.99,1.109561782,1.157181156
156,9,0.01,0.0001,0.04,0.5,1.106846408,1.157210413
43,8,0.01,0.01,0.02,0.9,1.10927488,1.157249927
301,10,0.01,0.0001,0.04,0.9,1.105957424,1.157262943
69,8,0.01,0.1,0.05,0.5,1.111324891,1.157334439
330,10,0.01,0.01,0.02,0.5,1.100949293,1.157362848
300,10,0.01,0.0001,0.04,0.5,1.103868234,1.157387633
50,8,0.01,0.01,0.04,0.99,1.112771768,1.15742945
217,9,0.1,0.0001,0,0.9,0.973711797,1.157467565
16,8,0.01,0.0001,0.05,0.9,1.116596349,1.157519434
71,8,0.01,0.1,0.05,0.99,1.117300406,1.157535421
403,10,0.1,0.01,0.02,0.9,0.99506946,1.15757384
133,8,0.1,0.1,0.02,0.9,1.009981747,1.157575045
154,9,0.01,0.0001,0.03,0.9,1.110579182,1.15765324
305,10,0.01,0.0001,0.05,0.99,1.105979224,1.157667546
186,9,0.01,0.01,0.02,0.5,1.109753423,1.157668278
250,9,0.1,0.001,0.05,0.9,1.04648458,1.15769608
349,10,0.01,0.1,0.02,0.9,1.114523971,1.157723727
312,10,0.01,0.001,0.02,0.5,1.107320733,1.157758966
19,8,0.01,0.001,0,0.9,1.106387918,1.157766633
290,10,0.01,0.0001,0,0.99,1.105790802,1.157846217
345,10,0.01,0.1,0.01,0.5,1.108092348,1.157947809
341,10,0.01,0.01,0.05,0.99,1.107069296,1.158000053
152,9,0.01,0.0001,0.02,0.99,1.10919552,1.158102539
44,8,0.01,0.01,0.02,0.99,1.108377478,1.158183144
169,9,0.01,0.001,0.02,0.9,1.109965351,1.158185048
48,8,0.01,0.01,0.04,0.5,1.112308658,1.158375445
56,8,0.01,0.1,0,0.99,1.113889868,1.158398658
33,8,0.01,0.001,0.05,0.5,1.110981619,1.158399389
333,10,0.01,0.01,0.03,0.5,1.108095179,1.158450494
327,10,0.01,0.01,0.01,0.5,1.11019903,1.158470945
176,9,0.01,0.001,0.04,0.99,1.109869739,1.158479393
336,10,0.01,0.01,0.04,0.5,1.110478062,1.158709122
167,9,0.01,0.001,0.01,0.99,1.108967105,1.158726096
15,8,0.01,0.0001,0.05,0.5,1.109672231,1.158753543
374,10,0.1,0.0001,0.04,0.99,0.985024005,1.158787948
304,10,0.01,0.0001,0.05,0.9,1.108904082,1.158918006
351,10,0.01,0.1,0.03,0.5,1.113754198,1.158921722
215,9,0.01,0.1,0.05,0.99,1.117590221,1.158929365
149,9,0.01,0.0001,0.01,0.99,1.099944507,1.158940649
145,9,0.01,0.0001,0,0.9,1.107500143,1.158959976
